n,p,reg_method,seed,oracle_stat,oracle_pval,oracle_reject,est_stat,est_pval,est_reject,f_mse,f_rmse,f_r2,f_cor,g_mse,g_rmse,g_r2,g_cor,stat_difference
200,5,linear,2035,2.4440511784511,0.0145233661458264,1,2.6068585711241,0.00913770938826625,1,0.0350627743424574,0.187250565666589,0.985387821359781,0.993155591085948,0.00426258320827376,0.0652884615247883,0.835584651758707,0.981623544257041,0.162807392672999
200,5,linear,2036,0.476220161126447,0.633917537630912,0,0.606407407265944,0.544244250937707,0,0.0359468797692646,0.189596623834035,0.986642519761267,0.998067157388795,0.00991078613352578,0.099552931315586,0.647107968119157,0.917065549160348,0.130187246139497
200,5,linear,2037,-0.268218755925356,0.788530938630932,0,-0.110478183344676,0.912030151114468,0,0.0264856065093451,0.162743990701178,0.98770971359784,0.995045520620435,0.0141579390901541,0.118987138339209,0.478527163253849,0.840301159198214,0.157740572580679
200,5,linear,2038,-0.877404338432229,0.380267057541293,0,-0.657811513681958,0.510659255065013,0,0.0331753808602008,0.182141101512538,0.985576951645737,0.998319683533148,0.00935949047846329,0.0967444596783882,0.607191965723777,0.925388199079128,0.21959282475027
200,5,linear,2039,-0.81183736877481,0.416884956480446,0,-0.817608951428665,0.413580514559964,0,0.00284235175956745,0.0533137108028268,0.998836558168845,0.999497899196218,0.00279735486909043,0.0528900261778195,0.886813080626699,0.942266298474867,0.00577158265385491
200,5,linear,2040,1.92498816738151,0.0542308385769957,0,1.79483606858542,0.0726798222901211,0,0.0456464706664366,0.213650346750097,0.977393548248274,0.989102136838327,0.00754566600469507,0.0868657930643304,0.676625758107961,0.936655786628202,0.130152098796092
200,5,linear,2041,-0.585429633960165,0.558258867769221,0,-0.664136740462901,0.506602796984193,0,0.0512756904510349,0.226441362058779,0.978149958112938,0.994822334044035,0.00899466255238157,0.0948401948141271,0.662826051778834,0.904934192742455,0.0787071065027367
200,5,linear,2042,0.290607205044958,0.771351748973613,0,0.0708906618882487,0.943484775411621,0,0.0316791115439304,0.177986267852131,0.984578452505246,0.993943969043807,0.00434844801179902,0.0659427631495604,0.82425029646874,0.919642139395059,0.21971654315671
200,5,linear,2043,-1.53294756557101,0.125288774797062,0,-1.45947741709147,0.144433751798863,0,0.0170971930649413,0.13075623528131,0.990915172394706,0.996274434539967,0.00253169064872327,0.0503159085053949,0.88221843819189,0.975937559024018,0.0734701484795424
200,5,linear,2044,-0.778217592944128,0.436440746976574,0,-0.711344983574687,0.476870482558103,0,0.0162456643785639,0.127458480998967,0.992553516898413,0.996410264969279,0.0039480351175939,0.062833391740331,0.843999342797698,0.94643683196276,0.0668726093694411
200,5,linear,2045,-0.356391310070482,0.721547536282257,0,-0.485938085916383,0.627011064144058,0,0.0151105975767814,0.122925170639627,0.993527913063196,0.996925937718112,0.00860625474346879,0.0927699021421753,0.678341450878475,0.87830401706039,0.129546775845901
200,5,linear,2046,-1.07283657474468,0.28334444743256,0,-1.05899904934544,0.289600212668651,0,0.0165747670188567,0.128743027068874,0.991269578567533,0.996972893893895,0.00739302137121247,0.0859826806468167,0.67523373893459,0.886846273334092,0.0138375253992482
200,5,linear,2047,-0.14251852058476,0.886670451378213,0,-0.256847538101897,0.797296470651988,0,0.0165073301530897,0.128480855200647,0.991186167022596,0.999272870974788,0.014043897138728,0.118506949748645,0.344573439262453,0.690135729718303,0.114329017517137
200,5,linear,2048,1.31504973582731,0.188493187769185,0,1.12497108101772,0.260601288986891,0,0.0285932399430726,0.169095357544412,0.986542442008234,0.996915665990923,0.0032878565093813,0.0573398335311614,0.859785630475033,0.964619215804899,0.190078654809586
200,5,linear,2049,0.94264476327762,0.345862635457666,0,0.963236698106413,0.335428752456357,0,0.0361684788246316,0.190180122054413,0.984401685784811,0.995526138989542,0.00195150667271082,0.0441758607466885,0.918774983598216,0.960253203250219,0.0205919348287938
200,5,linear,2050,1.53040521118393,0.125916459883033,0,1.55359475332104,0.120281111607835,0,0.0438091352737626,0.209306319239918,0.981141743708412,0.995514359741827,0.00826449055248904,0.0909092434931071,0.677296737700097,0.908313164874707,0.0231895421371116
200,5,linear,2051,0.51788299515411,0.604539907123466,0,0.775176423060197,0.438235417845102,0,0.0151170898128989,0.122951575072867,0.993686557207842,0.997466082489857,0.00896230790570146,0.0946694665966882,0.684221298532918,0.925716565923256,0.257293427906087
