test_name,n,h_label,estimator,bandwidth,rejection_rate
LinearMMD_test,1600,Null,LL,0.5,0.0660000000000001
LinearMMD_test,1600,Null,LL,1,0.05
LinearMMD_test,1600,Null,LL,median,0.06
LinearMMD_test,1600,Null,LL,5,0.138
LinearMMD_test,1600,Null,LL,10,0.134
LinearMMD_test,1600,Null,KLR,0.1,0.042
LinearMMD_test,1600,Null,KLR,0.5,0.054
LinearMMD_test,1600,Null,KLR,1,0.046
LinearMMD_test,1600,Null,KLR,median,0.05
LinearMMD_test,1600,Null,KLR,5,0.048
LinearMMD_test,1600,Null,KLR,10,0.044
CV_LinearMMD_test,1600,Null,LL,0.1,0.052
CV_LinearMMD_test,1600,Null,LL,0.5,0.072
CV_LinearMMD_test,1600,Null,LL,1,0.07
CV_LinearMMD_test,1600,Null,LL,median,0.0979999999999999
CV_LinearMMD_test,1600,Null,LL,5,0.252
CV_LinearMMD_test,1600,Null,LL,10,0.232
CV_LinearMMD_test,1600,Null,KLR,0.1,0.046
CV_LinearMMD_test,1600,Null,KLR,0.5,0.062
CV_LinearMMD_test,1600,Null,KLR,1,0.054
CV_LinearMMD_test,1600,Null,KLR,median,0.0760000000000001
CV_LinearMMD_test,1600,Null,KLR,5,0.05
CV_LinearMMD_test,1600,Null,KLR,10,0.048
LinearMMD_test,2000,Alternative,LL,0.1,0.036
LinearMMD_test,2000,Alternative,LL,0.5,0.054
LinearMMD_test,2000,Alternative,LL,1,0.0580000000000001
LinearMMD_test,2000,Alternative,LL,median,0.122
LinearMMD_test,2000,Alternative,LL,5,0.166
LinearMMD_test,2000,Alternative,LL,10,0.174
LinearMMD_test,2000,Alternative,KLR,0.1,0.042
LinearMMD_test,2000,Alternative,KLR,0.5,0.066
LinearMMD_test,2000,Alternative,KLR,1,0.066
LinearMMD_test,2000,Alternative,KLR,median,0.076
LinearMMD_test,2000,Alternative,KLR,5,0.054
LinearMMD_test,2000,Alternative,KLR,10,0.056
CV_LinearMMD_test,2000,Alternative,LL,0.1,0.036
CV_LinearMMD_test,2000,Alternative,LL,0.5,0.066
CV_LinearMMD_test,2000,Alternative,LL,1,0.0859999999999999
CV_LinearMMD_test,2000,Alternative,LL,median,0.178
CV_LinearMMD_test,2000,Alternative,LL,5,0.234
CV_LinearMMD_test,2000,Alternative,LL,10,0.254
CV_LinearMMD_test,2000,Alternative,KLR,0.1,0.0460000000000001
CV_LinearMMD_test,2000,Alternative,KLR,0.5,0.062
CV_LinearMMD_test,2000,Alternative,KLR,1,0.058
CV_LinearMMD_test,2000,Alternative,KLR,median,0.116
CV_LinearMMD_test,2000,Alternative,KLR,5,0.068
CV_LinearMMD_test,2000,Alternative,KLR,10,0.066
LinearMMD_test,2000,Null,LL,0.1,0.0500000000000001
LinearMMD_test,2000,Null,LL,0.5,0.056
LinearMMD_test,2000,Null,LL,1,0.0580000000000001
LinearMMD_test,2000,Null,LL,median,0.06
LinearMMD_test,2000,Null,LL,5,0.162
LinearMMD_test,2000,Null,LL,10,0.172
LinearMMD_test,2000,Null,KLR,0.1,0.052
LinearMMD_test,2000,Null,KLR,0.5,0.06
LinearMMD_test,2000,Null,KLR,1,0.058
LinearMMD_test,2000,Null,KLR,median,0.058
LinearMMD_test,2000,Null,KLR,5,0.05
LinearMMD_test,2000,Null,KLR,10,0.052
CV_LinearMMD_test,2000,Null,LL,0.1,0.04
CV_LinearMMD_test,2000,Null,LL,0.5,0.072
CV_LinearMMD_test,2000,Null,LL,1,0.086
CV_LinearMMD_test,2000,Null,LL,median,0.094
CV_LinearMMD_test,2000,Null,LL,5,0.23
CV_LinearMMD_test,2000,Null,LL,10,0.252
CV_LinearMMD_test,2000,Null,KLR,0.1,0.042
CV_LinearMMD_test,2000,Null,KLR,0.5,0.056
CV_LinearMMD_test,2000,Null,KLR,1,0.058
CV_LinearMMD_test,2000,Null,KLR,median,0.06
CV_LinearMMD_test,2000,Null,KLR,5,0.068
CV_LinearMMD_test,2000,Null,KLR,10,0.068
