test_name,n,h_label,estimator,bandwidth,rejection_rate
LinearMMD_test,1200,Null,KLR,10,0.052
CV_LinearMMD_test,1200,Null,LL,0.1,0.058
CV_LinearMMD_test,1200,Null,LL,0.5,0.058
CV_LinearMMD_test,1200,Null,LL,1,0.0620000000000001
CV_LinearMMD_test,1200,Null,LL,median,0.048
CV_LinearMMD_test,1200,Null,LL,5,0.062
CV_LinearMMD_test,1200,Null,LL,10,0.056
CV_LinearMMD_test,1200,Null,KLR,0.1,0.048
CV_LinearMMD_test,1200,Null,KLR,0.5,0.056
CV_LinearMMD_test,1200,Null,KLR,1,0.062
CV_LinearMMD_test,1200,Null,KLR,median,0.054
CV_LinearMMD_test,1200,Null,KLR,5,0.056
CV_LinearMMD_test,1200,Null,KLR,10,0.056
LinearMMD_test,1600,Alternative,LL,0.1,0.0840000000000001
LinearMMD_test,1600,Alternative,LL,0.5,0.08
LinearMMD_test,1600,Alternative,LL,1,0.086
LinearMMD_test,1600,Alternative,LL,median,0.07
LinearMMD_test,1600,Alternative,LL,5,0.054
LinearMMD_test,1600,Alternative,LL,10,0.044
LinearMMD_test,1600,Alternative,KLR,0.1,0.084
LinearMMD_test,1600,Alternative,KLR,0.5,0.0900000000000001
LinearMMD_test,1600,Alternative,KLR,1,0.094
LinearMMD_test,1600,Alternative,KLR,median,0.07
LinearMMD_test,1600,Alternative,KLR,5,0.1
LinearMMD_test,1600,Alternative,KLR,10,0.1
CV_LinearMMD_test,1600,Alternative,LL,0.1,0.0660000000000001
CV_LinearMMD_test,1600,Alternative,LL,0.5,0.128
CV_LinearMMD_test,1600,Alternative,LL,1,0.12
CV_LinearMMD_test,1600,Alternative,LL,median,0.0860000000000001
CV_LinearMMD_test,1600,Alternative,LL,5,0.07
CV_LinearMMD_test,1600,Alternative,LL,10,0.048
CV_LinearMMD_test,1600,Alternative,KLR,0.1,0.054
CV_LinearMMD_test,1600,Alternative,KLR,0.5,0.114
CV_LinearMMD_test,1600,Alternative,KLR,1,0.124
CV_LinearMMD_test,1600,Alternative,KLR,median,0.064
CV_LinearMMD_test,1600,Alternative,KLR,5,0.122
CV_LinearMMD_test,1600,Alternative,KLR,10,0.122
LinearMMD_test,1600,Null,LL,0.1,0.06
LinearMMD_test,1600,Null,LL,0.5,0.052
LinearMMD_test,1600,Null,LL,1,0.042
LinearMMD_test,1600,Null,LL,median,0.064
LinearMMD_test,1600,Null,LL,5,0.034
LinearMMD_test,1600,Null,LL,10,0.032
LinearMMD_test,1600,Null,KLR,0.1,0.06
LinearMMD_test,1600,Null,KLR,0.5,0.0440000000000001
LinearMMD_test,1600,Null,KLR,1,0.046
LinearMMD_test,1600,Null,KLR,median,0.066
LinearMMD_test,1600,Null,KLR,5,0.044
LinearMMD_test,1600,Null,KLR,10,0.044
CV_LinearMMD_test,1600,Null,LL,0.1,0.048
CV_LinearMMD_test,1600,Null,LL,0.5,0.0440000000000001
CV_LinearMMD_test,1600,Null,LL,1,0.052
CV_LinearMMD_test,1600,Null,LL,median,0.0460000000000001
CV_LinearMMD_test,1600,Null,LL,5,0.048
CV_LinearMMD_test,1600,Null,LL,10,0.036
CV_LinearMMD_test,1600,Null,KLR,0.1,0.046
CV_LinearMMD_test,1600,Null,KLR,0.5,0.038
CV_LinearMMD_test,1600,Null,KLR,1,0.0420000000000001
CV_LinearMMD_test,1600,Null,KLR,median,0.056
CV_LinearMMD_test,1600,Null,KLR,5,0.046
CV_LinearMMD_test,1600,Null,KLR,10,0.044
LinearMMD_test,2000,Alternative,LL,0.1,0.042
LinearMMD_test,2000,Alternative,LL,0.5,0.092
LinearMMD_test,2000,Alternative,LL,1,0.1
LinearMMD_test,2000,Alternative,LL,median,0.054
LinearMMD_test,2000,Alternative,LL,5,0.0600000000000002
LinearMMD_test,2000,Alternative,LL,10,0.04
LinearMMD_test,2000,Alternative,KLR,0.1,0.042
