test_type,test_name,n,h_label,estimator,rejection_rate,avg_time_sec
DRT,CLF_test,800,Alternative,KLR,0.19,0.927100470066071
DRT,CV_CLF_test,800,Alternative,LL,0.44,0.0367275381088257
DRT,CV_CLF_test,800,Alternative,KLR,0.36,1.51970476865768
DRT,CP_test,800,Alternative,LL,0.7,0.020933883190155
DRT,CP_test,800,Alternative,KLR,0.77,0.544960086345673
DRT,debiased_test,800,Alternative,LL,0.71,0.704866492748261
DRT,debiased_test,800,Alternative,KLR,0.69,1.51677606344223
DRT,BlockMMD_test,800,Alternative,LL,0.17,0.0661370658874512
DRT,BlockMMD_test,800,Alternative,KLR,0.14,0.579880349636078
DRT,CV_BlockMMD_test,800,Alternative,LL,0.3,0.134155933856964
DRT,CV_BlockMMD_test,800,Alternative,KLR,0.33,1.17855097770691
DRT,bootstrap_MMD_test,800,Alternative,LL,0.83,3.34803149938583
DRT,bootstrap_MMD_test,800,Alternative,KLR,0.74,3.4679306936264
CIT,RCIT_test,800,Alternative,lm,0.78,0.0488974356651306
CIT,RCIT_test,800,Alternative,ranger,0.78,0.0493292903900147
CIT,PCM_test,800,Alternative,lm,0.01,0.0149500346183777
CIT,PCM_test,800,Alternative,ranger,0.35,0.289568386077881
CIT,GCM_test,800,Alternative,lm,0.98,0.00904211282730103
CIT,GCM_test,800,Alternative,ranger,0.92,0.181412343978882
CIT,WGSC_test,800,Alternative,lm,0,0.0789559864997864
CIT,WGSC_test,800,Alternative,ranger,0.04,1.69936364889145
DRT,LinearMMD_test,1200,Null,LL,0.05,0.0168946862220764
DRT,LinearMMD_test,1200,Null,KLR,0.07,1.59332539319992
DRT,CV_LinearMMD_test,1200,Null,LL,0.06,0.0401524019241333
DRT,CV_LinearMMD_test,1200,Null,KLR,0.03,3.27887564659119
DRT,CLF_test,1200,Null,LL,0.08,0.020079653263092
DRT,CLF_test,1200,Null,KLR,0.04,2.16945534706116
DRT,CV_CLF_test,1200,Null,LL,0.15,0.0376240658760071
DRT,CV_CLF_test,1200,Null,KLR,0.09,4.92632090091705
DRT,CP_test,1200,Null,LL,0.08,0.0430940580368042
DRT,CP_test,1200,Null,KLR,0.08,1.97088168144226
DRT,debiased_test,1200,Null,LL,0.04,2.37583152294159
DRT,debiased_test,1200,Null,KLR,0.02,3.68017143964767
DRT,BlockMMD_test,1200,Null,LL,0.04,0.118376891613007
DRT,BlockMMD_test,1200,Null,KLR,0.03,1.56445202827454
DRT,CV_BlockMMD_test,1200,Null,LL,0.09,0.233901495933533
DRT,CV_BlockMMD_test,1200,Null,KLR,0.04,3.1472884106636
DRT,bootstrap_MMD_test,1200,Null,LL,0.27,7.44490586280823
DRT,bootstrap_MMD_test,1200,Null,KLR,0.09,8.31073715925217
CIT,RCIT_test,1200,Null,lm,0.05,0.0609470987319946
CIT,RCIT_test,1200,Null,ranger,0.05,0.0623808121681213
CIT,PCM_test,1200,Null,lm,0.03,0.0168866348266602
CIT,PCM_test,1200,Null,ranger,0.12,0.391355102062225
CIT,GCM_test,1200,Null,lm,0.07,0.0112845778465271
CIT,GCM_test,1200,Null,ranger,0.08,0.264477307796478
CIT,WGSC_test,1200,Null,lm,0.07,0.102137267589569
CIT,WGSC_test,1200,Null,ranger,0,2.38593844652176
DRT,LinearMMD_test,1200,Alternative,LL,0.11,0.0169975018501282
DRT,LinearMMD_test,1200,Alternative,KLR,0.1,1.50748344898224
DRT,CV_LinearMMD_test,1200,Alternative,LL,0.1,0.031558883190155
DRT,CV_LinearMMD_test,1200,Alternative,KLR,0.11,2.98471004009247
DRT,CLF_test,1200,Alternative,LL,0.37,0.0205365514755249
DRT,CLF_test,1200,Alternative,KLR,0.32,2.10977530002594
DRT,CV_CLF_test,1200,Alternative,LL,0.63,0.0376554250717163
DRT,CV_CLF_test,1200,Alternative,KLR,0.58,4.21120599508286
DRT,CP_test,1200,Alternative,LL,0.86,0.030540132522583
DRT,CP_test,1200,Alternative,KLR,0.92,1.5159886431694
DRT,debiased_test,1200,Alternative,LL,0.75,1.80045593738556
DRT,debiased_test,1200,Alternative,KLR,0.84,3.77572622060776
DRT,BlockMMD_test,1200,Alternative,LL,0.29,0.147786860466003
DRT,BlockMMD_test,1200,Alternative,KLR,0.25,1.71325607299805
DRT,CV_BlockMMD_test,1200,Alternative,LL,0.44,0.295972354412079
DRT,CV_BlockMMD_test,1200,Alternative,KLR,0.43,3.12794608831406
DRT,bootstrap_MMD_test,1200,Alternative,LL,0.9,7.40690249919891
DRT,bootstrap_MMD_test,1200,Alternative,KLR,0.88,10.7700594878197
