hypothesis,prop,test,statistic,pvalue,rejection,block_size,sim
null,0.1,debiased_test,7.41611099307969,6.0285110237146e-14,1,,23
null,0.1,bootstrap_MMD_test,,,1,,23
null,0.1,BlockMMD_test,4.35665284056481,6.60332417490306e-06,1,42,23
null,0.1,LinearMMD_test,0.98024679439799,0.16348215549402,0,,24
null,0.1,CLF_test,-0.878279063775651,0.810103852687965,0,,24
null,0.1,CP_test,-4.29062913141604,8.90838238138893e-06,1,,24
null,0.1,debiased_test,7.33386059023945,1.11799458579753e-13,1,,24
null,0.1,bootstrap_MMD_test,,,1,,24
null,0.1,BlockMMD_test,3.97250804589583,3.55599165978715e-05,1,42,24
null,0.1,LinearMMD_test,0.44670665986297,0.32754343630917,0,,25
null,0.1,CLF_test,-0.0638358972086537,0.525449552651035,0,,25
null,0.1,CP_test,-3.90475232370754,4.71609673887215e-05,1,,25
null,0.1,debiased_test,6.36167475243914,9.97828486504204e-11,1,,25
null,0.1,bootstrap_MMD_test,,,1,,25
null,0.1,BlockMMD_test,2.73986800631939,0.00307319313896437,1,42,25
null,0.1,LinearMMD_test,0.42457648488777,0.335572719074114,0,,26
null,0.1,CLF_test,-1.1232912067863,0.869343081437771,0,,26
null,0.1,CP_test,-3.83278304466946,6.33508440721724e-05,1,,26
null,0.1,debiased_test,8.06540676526869,3.33066907387547e-16,1,,26
null,0.1,bootstrap_MMD_test,,,1,,26
null,0.1,BlockMMD_test,2.79025720391765,0.00263330923810023,1,42,26
null,0.1,LinearMMD_test,0.0825346664047276,0.467110776277993,0,,27
null,0.1,CLF_test,0.511604819120562,0.304463806021485,0,,27
null,0.1,CP_test,-2.32456455787707,0.0100476278973372,1,,27
null,0.1,debiased_test,6.47277027801822,4.81110706829213e-11,1,,27
null,0.1,bootstrap_MMD_test,,,1,,27
null,0.1,BlockMMD_test,4.96118756319617,3.50317480579676e-07,1,42,27
null,0.1,LinearMMD_test,0.701375752647198,0.241534274967223,0,,28
null,0.1,CLF_test,1.72697409638578,0.0420861578601202,1,,28
null,0.1,CP_test,-2.85667236047622,0.00214053748186284,1,,28
null,0.1,debiased_test,7.09496521106939,6.46926956449079e-13,1,,28
null,0.1,bootstrap_MMD_test,,,1,,28
null,0.1,BlockMMD_test,6.28896089211776,1.597989518487e-10,1,42,28
null,0.1,LinearMMD_test,-2.28379545042366,0.988808222407607,0,,29
null,0.1,CLF_test,-0.579949482546944,0.719025657379916,0,,29
null,0.1,CP_test,-1.33164353758,0.0914886755666885,0,,29
null,0.1,debiased_test,5.77364409207963,3.87876031293644e-09,1,,29
null,0.1,bootstrap_MMD_test,,,1,,29
null,0.1,BlockMMD_test,2.68453324332183,0.0036315579931846,1,42,29
null,0.1,LinearMMD_test,1.09515537387182,0.136724286345473,0,,30
null,0.1,CLF_test,0.513882800356535,0.303666966657914,0,,30
null,0.1,CP_test,-2.83531883599588,0.00228899858014547,1,,30
null,0.1,debiased_test,5.68795414496933,6.42851660792587e-09,1,,30
null,0.1,bootstrap_MMD_test,,,1,,30
null,0.1,BlockMMD_test,5.06041859852736,2.09168515397096e-07,1,42,30
null,0.1,LinearMMD_test,-1.05222600052366,0.853652063414325,0,,31
null,0.1,CLF_test,-0.436714725165303,0.668840875574152,0,,31
null,0.1,CP_test,-3.23466017835447,0.000608937931533867,1,,31
null,0.1,debiased_test,6.162814669521,3.57315621535292e-10,1,,31
null,0.1,bootstrap_MMD_test,,,1,,31
null,0.1,BlockMMD_test,2.47495643377835,0.00666262147429753,1,42,31
null,0.1,LinearMMD_test,2.32950055705624,0.00991628176287829,1,,32
null,0.1,CLF_test,1.40337303829092,0.0802528142936037,0,,32
null,0.1,CP_test,-4.74830068991382,1.02566451715536e-06,1,,32
null,0.1,debiased_test,6.92216759879425,2.22388774062665e-12,1,,32
null,0.1,bootstrap_MMD_test,,,1,,32
null,0.1,BlockMMD_test,4.50404857117058,3.33354789594509e-06,1,42,32
null,0.1,LinearMMD_test,1.12566879555249,0.130152868283626,0,,33
null,0.1,CLF_test,-3.14542236226951,0.999170763963687,0,,33
null,0.1,CP_test,-1.86804874958478,0.0308776380976959,1,,33
null,0.1,debiased_test,6.19087099279365,2.99163360750754e-10,1,,33
null,0.1,bootstrap_MMD_test,,,1,,33
null,0.1,BlockMMD_test,3.94574214357268,3.97765951981599e-05,1,42,33
null,0.1,LinearMMD_test,0.75713183826861,0.224485440615641,0,,34
null,0.1,CLF_test,0.390212584355176,0.348189678401413,0,,34
null,0.1,CP_test,-3.05752267274849,0.0011158737880338,1,,34
null,0.1,debiased_test,4.05188026906339,2.54038326245043e-05,1,,34
null,0.1,bootstrap_MMD_test,,,1,,34
null,0.1,BlockMMD_test,4.32226609357438,7.72173865393189e-06,1,42,34
null,0.1,LinearMMD_test,0.322742698826282,0.373445056061409,0,,35
null,0.1,CLF_test,0.374726699182002,0.353931866835351,0,,35
null,0.1,CP_test,-3.94415119507602,4.00415612803018e-05,1,,35
null,0.1,debiased_test,7.60225181961067,1.45439216225896e-14,1,,35
null,0.1,bootstrap_MMD_test,,,1,,35
null,0.1,BlockMMD_test,4.83624298276777,6.61580825012109e-07,1,42,35
null,0.1,LinearMMD_test,3.54310897419591,0.000197719630247839,1,,36
null,0.1,CLF_test,-0.433888823383582,0.667815411866302,0,,36
null,0.1,CP_test,-4.18905157721501,1.40061366679341e-05,1,,36
null,0.1,debiased_test,7.67322088283065,8.43769498715119e-15,1,,36
null,0.1,bootstrap_MMD_test,,,1,,36
null,0.1,BlockMMD_test,4.54199488404826,2.78621968929915e-06,1,42,36
null,0.1,LinearMMD_test,0.199971269563261,0.420751525420555,0,,37
null,0.1,CLF_test,-1.16986807557184,0.87897296854876,0,,37
null,0.1,CP_test,-2.6827942207591,0.00365049494666595,1,,37
null,0.1,debiased_test,7.09578576719187,6.43041175862891e-13,1,,37
null,0.1,bootstrap_MMD_test,,,1,,37
null,0.1,BlockMMD_test,7.93768122276127,9.99200722162641e-16,1,42,37
null,0.1,LinearMMD_test,2.34977411940586,0.00939240335341029,1,,38
null,0.1,CLF_test,0.810416538760548,0.20885040778184,0,,38
null,0.1,CP_test,-4.1881795935434,1.40600478387611e-05,1,,38
null,0.1,debiased_test,7.76764672524641,3.99680288865056e-15,1,,38
null,0.1,bootstrap_MMD_test,,,1,,38
null,0.1,BlockMMD_test,3.07547548175105,0.00105083603669975,1,42,38
